Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Тверская область;451 ;№ 603;г. Тверь, ул. Громова, д. 1а, стр.1;56,843676;35,783985;"Кафе
Магазин
Стоянка";"WI-FI
Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";49.99 руб.;53.79 руб.;62.69 руб.;;;;;;;;;;;;;;;;
Тверская область;451 ;№ 604;г. Тверь, улица Коминтерна, 77а;56,831916;35,906951;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";49.89 руб.;53.39 руб.;63.19 руб.;;;;;;;;;;;;;;;;
Тверская область;451 ;№ 605;г. Тверь, улица Ротмистрова, 27а;56,84679;35,926269;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.19 руб.;53.39 руб.;;64.49 руб.;;;;;68.59 руб.;;;;;;;;;;
Тверская область;451 ;№ 606;Тверская область ,Калининский район ,202 км  а/д  СПБ-Москва +300 м;56,950073;35,428359;"Кафе
Магазин
Стоянка";"WI-FI
Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.19 руб.;53.59 руб.;62.99 руб.;64.69 руб.;;;;;;;;;;;;;;;
Ставропольский край;459 ;№ 506;Ставропольский край, Шпаковский р-н, с. Верхнерусское, ул. Батайская, 21;45,125179;41,963233;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";51.49 руб.;57.09 руб.;61.29 руб.;63.39 руб.;;;;;;;;;;;;;;;
г.Буинск, Буинский район;456 ;№ 285;Республика Татарстан, р-н Буинский муниципальный, с/п Малобуииковское, д Малая Буинка, ул Шоссейная, д 27;54,9714;48,2581;Магазин;Туалет;49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Буинск, Буинский район;456 ;№ 602;Республика Татарстан, г. Буинск, ул. Космовского 111а;54,988495;48,311621;;;49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
Кемеровская область;;№ 2002 (АЗС-партнер);Кемеровская обл,  р-н Беловский, примерно в 1400 метрах по направлению на север от ориентира - виадук на п. Степной автодороги Ленинск-Кузнецкий - Новокузнецк;54,313923;86,489704;"Кафе
Магазин";"Подкачка шин
Туалет
Услуга заправщика (в дневное время)";48.89 руб.;55.09 руб.;64.99 руб.;66.99 руб.;;;;;;53.09 руб.;;;;;;;;;
Кемеровская область;;№ 2003 (АЗС-партнер);Кемеровская обл., г. Новокузнецк, ул. Рудокопровая, 19;53,757918;87,090049;Магазин;"Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.99 руб.;55.09 руб.;64.49 руб.;66.49 руб.;;;;;;53.09 руб.;;;;;;;;;
Кемеровская область;;№ 2004 (АЗС-партнер);Кемеровская обл, Ижморский район, с. Красный Яр, ул. Юбилейная, 24а;55,90792;86,94665;Магазин;"Кофе
Услуга заправщика (в дневное время)";49.09 руб.;54.99 руб.;64.29 руб.;66.29 руб.;;;;;;52.99 руб.;;;;;;;;;
Кемеровская область;;№ 2005 (АЗС-партнер);Кемеровская обл, г. Мариинск, ул. Котовского,87а;56,174809;87,697731;Магазин;"Кофе
Услуга заправщика (в дневное время)";48.49 руб.;54.59 руб.;63.99 руб.;65.99 руб.;;;;;;52.59 руб.;;;;;;;;;
Кемеровская область;;№ 2006 (АЗС-партнер);Кемеровская обл, Тяжинский район, 508 км автодороги «Новосибирск-Иркутск»;56,150109;88,529371;Магазин;"Кофе
Услуга заправщика (в дневное время)";49.09 руб.;54.99 руб.;64.29 руб.;66.29 руб.;;;;;;52.99 руб.;;;;;;;;;
Кемеровская область;;№ 2019 (АЗС-партнер);Кемеровская обл., Промышленновский район, с. Журавлево, ул. Центральная, 2д;54,787821;85,049187;"Кафе
Магазин";"Подкачка шин
Туалет
Услуга заправщика (в дневное время)";48.99 руб.;54.79 руб.;64.29 руб.;66.29 руб.;;;;;;52.79 руб.;;;;;;;;;
Кемеровская область;;№ 2027 (АЗС-партнер);Кемеровская область-Кузбасс, Промышленовский район, пос. Плотниково, ул. Почтовая, 85;55,034332;85,932876;"Кафе
Магазин";"WI-FI
Подкачка шин
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.99 руб.;52.69 руб.;63.99 руб.;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2029 (АЗС-партнер);Кемеровская область,Таштагольский район,посёлок Темиртау,ул.Чехова 1;53,132154;87,426433;"Кафе
Магазин";"Кофе
Услуга заправщика (в дневное время)";48.59 руб.;53.09 руб.;63.99 руб.;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2030 (АЗС-партнер);Кемеровская область,г.Мыски,район восточного проезда,в 250 м юго-западнее ж/д переезда;53,767349;87,581181;;;48.09 руб.;52.59 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2031 (АЗС-партнер);Кемеровская область,г. Новокузнецк,пер.Телецкий 20;53,793474;87,357716;;;48.59 руб.;52.59 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2032 (АЗС-партнер);Кемеровская область,г.Белово,ул.Разина 69;54,38332;86,365747;"Кафе
Магазин";Услуга заправщика (в дневное время);48.25 руб.;54.09 руб.;;65.99 руб.;;;;;;52.09 руб.;;;;;;;;;
Кемеровская область;;№ 2033 (АЗС-партнер);Кемеровская область,Гурьевский муниципальный округ,д.Шанда,ул.Железнодорожная,1/1;54,315109;86,07133;"Кафе
Магазин";"Кофе
Туалет
Услуга заправщика (в дневное время)";48.99 руб.;52.59 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2034 (АЗС-партнер);Кемеровская область,г.Белово,в районе реки Уба;54,480784;86,357711;;;48.89 руб.;54.69 руб.;64.29 руб.;66.29 руб.;;;;;;52.69 руб.;;;;;;;;;
Кемеровская область;;№ 2035 (АЗС-партнер);Кемеровская обл, пгт. Грамотеино, ул. Блюхера 62А к1 (31-й км. трассы Новокузнецк - Ленинск-Кузнецкий);54,494271;86,368708;;;48.69 руб.;52.59 руб.;;64.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2036 (АЗС-партнер);Кемеровская область,г.Ленинск-Кузнецкий,228 км трассы Новосибирск-Ленинск-Кузнецкий;54,668147;86,124321;"Кафе
Магазин";"Кофе
Туалет";49.24 руб.;52.95 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2037 (АЗС-партнер);Кемеровская область,г.Новокузнецк,шоссе Кузнецкое,41;53,77529;87,269187;;;48.59 руб.;52.09 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2038 (АЗС-партнер);Кемеровская область,Новокузнецкий район,посёлок Рябиновка,ул.Центральная 2А;53,452413;87,175116;;;48.09 руб.;52.59 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2039 (АЗС-партнер);Кемеровская область,пгт Промышленная,ул.Звёздная,26;54,890825;85,618906;"Кафе
Магазин";"Кофе
Туалет
Услуга заправщика (в дневное время)";48.59 руб.;52.59 руб.;63.99 руб.;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2040 (АЗС-партнер);Кемеровская область ,г.Таштагол, ул.Горького 2А;52,762061;87,867868;;;48.99 руб.;52.99 руб.;63.99 руб.;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2060 (АЗС-партнер);Тисульский р-он, автотрасса Тисуль-Тяжин, 5км;55,800123;88,304802;Магазин;;48.89 руб.;54.79 руб.;64.29 руб.;66.29 руб.;;;;;;52.79 руб.;;;;;;;;;
Кемеровская область;;№ 2062 (АЗС-партнер);Кемеровская обл., г. Анжеро-Судженск, ул. Кемсеть, 2;56,063842;86,006456;Магазин;;48.59 руб.;52.59 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2063 (АЗС-партнер);Кемеровская обл., г. Анжеро-Судженск, пер. Электрический, 11А;56,085343;86,011753;Магазин;;48.59 руб.;54.59 руб.;;65.99 руб.;;;;;;52.59 руб.;;;;;;;;;
Кемеровская область;;№ 2064 (АЗС-партнер);Кемеровская обл., г. Новокузнецк, ул. Гончарова, 177Б;53,76187;86,99914;;;47.75 руб.;54.05 руб.;;65.99 руб.;;;;;;52.05 руб.;;;;;;;;;
Кемеровская область;;№ 2065 (АЗС-партнер);Кемеровская обл., г. Белово, пос. Грамотеино, ул. Блюхера 62А/2;54,492873;86,370686;;;0 руб.;0 руб.;;0 руб.;;;;;;0 руб.;;;;;;;;;
Кемеровская область;;№ 2066 (АЗС-партнер);Кемеровская обл., г. Прокопьевск, ул. Правды, 1;53,947643;86,722657;;;48.59 руб.;52.59 руб.;;65.99 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 2094 (АЗС-партнер);Кемеровская область, Кемеровский район, п. Успенка, ул. Трактовая, д.2а;55,698315;86,597532;Стоянка;"Терминал оплаты
Туалет";48.59 руб.;52.09 руб.;63.84 руб.;65.99 руб.;;;;;;;;;;;;;;;
г. Чистополь, Чистопольский район;;№ 566;"Республика Татарстан, Чистопольский район, Объездная дорога, 126-й км, автодороги ""Казань-Оренбург""";55,3246;50,6241;"Кафе GreenLight
Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядная станция для электромобилей (ЭЗС)
Кофе
Наличные с покупкой
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;68.15 руб.;25 руб.;0 руб.;;;;;;;;;;;
г. Чистополь, Чистопольский район;;№ 694;Республика Татарстан, г. Чистополь, ул. Карла Маркса, 85а;55,36043546;50,64998746;;"Выпечка
Кофе
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет";49 руб.;;59 руб.;60.45 руб.;;;;;;53.2 руб.;;;;;;;;;
Ярославская область;451 ;№ 679;Ярославская область, д. Воробино, д. 5 б, слева  на трассе Р-132 «Золотое кольцо»;57,538891;40,056347;Магазин;Кофе;49.39 руб.;52.59 руб.;62.19 руб.;63.89 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 596;Челябинская область, Саткинский район, на 1 681 км. Автомобильной дороги Москва-Челябинск (трасса М5 «УРАЛ») слева по ходу движения;54,919153;58,90048;"Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Напитки
Подкачка шин";48.85 руб.;52.8 руб.;61.55 руб.;63.85 руб.;;66.4 руб.;;;;;;;;;;;;;
Челябинская область;;№ 597;456910, Челябинская область, Саткинский район, на 1681 км. Автомобильной дороги Москва-Челябинск (трасса М5 «УРАЛ») справа по ходу движения;54,91884;58,902601;"Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Напитки
Подкачка шин";48.85 руб.;52.8 руб.;61.55 руб.;63.85 руб.;;66.4 руб.;;;;;;;;;;;;;
Челябинская область;;№ 686;456510, Челябинская область, Сосновский район, Саккуловское с.п., а/д Москва - Челябинск, 57 км, слева по ходу движения.;55,629333;61,291977;Магазин;;48.8 руб.;53.55 руб.;61.55 руб.;63.85 руб.;;;;;66.6 руб.;;;;;;;;;;
Воронежская область;;№ 595;"Липецкая область, Хлевенский р-н, с. Конь-Колодезь, трасса М-4 ""Дон"" 458 км. (слева)";52,144139;39,201371;"Кафетерий
Магазин";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";50.79 руб.;55.29 руб.;59.89 руб.;61.59 руб.;;;;;;;;;;;;;;;
Воронежская область;;№ 616;Воронежская обл. г. Воронеж, ул. Патриотов, 42а;51,647546;39,116752;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.79 руб.;55.69 руб.;59.79 руб.;62.29 руб.;;;;;;;;;;;;;;;
Воронежская область;;№ 617;Воронежская область., г Воронеж, ул. Любы Шевцовой ,36а;51,659042;39,103044;Магазин;"Автотовары
Выпечка
Кофе
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.09 руб.;54.79 руб.;59.89 руб.;62.09 руб.;;;;;;;;;;;;;;;
Воронежская область;;№ 618;Воронежская область., г Воронеж, пр-кт Ленинский 154а;51,685825;39,266074;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";51.89 руб.;56.29 руб.;59.89 руб.;;;;;;;;;;;;;;;;
Воронежская область;;№ 619;Воронежская обл.,г.Воронеж,ул.Новосибирская,д.2а;51,61979507;39,235884;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";51.89 руб.;56.39 руб.;59.89 руб.;;;;;;69.79 руб.;;;;;;;;;;
Воронежская область;;№ 620;Воронежская обл., г. Воронеж, ул. Волгоградская, 41;51,646586;39,268342;"Автомойка
Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.89 руб.;55.69 руб.;59.79 руб.;61.99 руб.;;;27.99 руб.;;;;;;;;;;;;
Воронежская область;;№ 621;Воронежская обл., г. Воронеж, ул. Дорожная, 19А;51,66154;39,132985;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";51.59 руб.;56.39 руб.;59.79 руб.;61.99 руб.;;;;;;;;;;;;;;;
Воронежская область;;№ 622;Воронежская обл., г.Воронеж, пр-кт Труда, 107а;51,676297;39,170937;"Автомойка
Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.89 руб.;55.69 руб.;59.89 руб.;;;;;;69.69 руб.;;;;;;;;;;
Воронежская область;;№ 623;Воронежская обл., г. Воронеж, ул.Новосибирская, стр. 13 д;51,61087663;39,23845596;"Автомойка
Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.89 руб.;55.69 руб.;59.89 руб.;62.09 руб.;;;;;;;;;;;;;;;
Воронежская область;;№ 624;г. Воронеж, ул. Хользунова 99 а.;51,701568;39,164354;"Автомойка
Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.89 руб.;55.69 руб.;59.89 руб.;62.09 руб.;;;;;;;;;;;;;;;
Воронежская область;;№ 625;Воронежская обл., г.Воронеж, ул.9 Января, 223А;51,680875;39,126025;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.89 руб.;55.69 руб.;59.89 руб.;62.09 руб.;;;;;;;;;;;;;;;
Тульская область;;№ 2068;Тульская область, р-н Заокский, с/о Малаховский, 115 км+700м слева от автодороги Москва-Харьков;54,762525;37,488694;Стоянка;"WI-FI
Автокафе
Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Протирка стекол
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (круглосуточно)";51.09 руб.;55.39 руб.;61.89 руб.;;;;;;;56.89 руб.;;;;;;;;;
Тульская область;;№ 2069;Тульская область, Плавский район,242 км автомагистрали «Крым» (справа), район пос.Агролес;53,74476;37,32125;Стоянка;"WI-FI
Автокафе
Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Протирка стекол
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (круглосуточно)";50.59 руб.;55.39 руб.;62.09 руб.;;;;;;;56.89 руб.;;;;;;;;;
Тульская область;;№ 2082;г. Тула, Пролетарский район, ул. Новотульская, д.15.;54,160808;37,709425;Магазин;"Автотовары
Кофе
Туалет";49.25 руб.;54.15 руб.;72.9 руб.;74.9 руб.;;;;;;;;;;;;;;;
Ростовская область;;№ 579;Ростовская область, Красносулинский р-н, в 1 км. по направлению на запад от х. Пушкин;47,824072;40,17649;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Детский игровой уголок
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";52.49 руб.;57.59 руб.;60.69 руб.;62.49 руб.;;;;;;;48.5 руб.;;;;;;;;
Ростовская область;;№ 2059 (АЗС-партнер);Ростовская область, Неклиновский район, с. Самбек, ул. Центральная 2;47,317775;39,018946;"Кафе
Магазин
Стоянка";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин
Услуга заправщика (круглосуточно)";51.59 руб.;56.99 руб.;60.69 руб.;62.49 руб.;;70.49 руб.;28 руб.;;;;;;;;;;;;
Самарская область;;№ 582;Самарская область, г. Новокуйбышевск, Восточное шоссе, 1;53,087525;49,99655;"Кафетерий
Магазин
Стоянка";"Автотовары
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Услуга заправщика (в дневное время)";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;49.9 руб.;68.35 руб.;26 руб.;;;;;;;;;;;;
Самарская область;;№ 583;Самарская область, Похвистневский район, на км 155+177 слева а/д Самара-Бугуруслан;53,644459;52,148013;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Услуга заправщика (в дневное время)";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;49.9 руб.;;27.5 руб.;;;;;;;;;;;;
Самарская область;;№ 593;Самарская обл., Волжский р-он, пгт. Стройкерамика, ул. Иоанна Снычева 2;53,301118;50,336877;"Кафетерий
Магазин
Стоянка";"Автотовары
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Услуга заправщика (в дневное время)";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;49.9 руб.;;26 руб.;;;;;;;;;;;;
Самарская область;;№ 608;Самарская обл., г. Тольятти, Обводное шоссе 107;53,566646;49,489508;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;;;;;;;;;;;;;;;
Самарская область;;№ 609;Самарская обл., г. Новокуйбышевск, Самарское шоссе, сооружение 6;53,120548;49,94198;Магазин;"Автотовары
Выпечка
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";48.85 руб.;53.45 руб.;;61.75 руб.;;68.35 руб.;;;;;;;;;;;;;
Самарская область;;№ 610;Самарская обл., г. Новокуйбышевск, ул. Промышленная 2Б.;53,08556;49,946094;"Кафетерий
Магазин";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";48.85 руб.;53.45 руб.;;61.75 руб.;;;;;;;;;;;;;;;
Самарская область;;№ 614;Самарская обл., Большеглушицкий район, 500 м. севернее с. Б. Глушица;52,394295;50,518178;"Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;49.9 руб.;;25.5 руб.;;;;;;;;;;;;
Самарская область;;№ 643;г. Тольятти, ул. Ларина 128Б;53,536108;49,435095;Магазин;"Автотовары
Выпечка
Кофе
Напитки
Туалет";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;;;;;;;;;;;;;;;
Самарская область;;№ 2049 (АЗС-партнер);Самарская область, Кинельский р-н, Волгоградское шоссе 23 км;53,256188;50,474468;"Кафетерий
Магазин";Туалет;48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;;;;;;;;;;;;;;;
Самарская область;;№ 2050 (АЗС-партнер);Самарская область, пгт Петра Дубрава, ул. Климова, з/у 2Д;53,30055;50,360402;"Кафетерий
Магазин";Туалет;48.85 руб.;53.45 руб.;60.05 руб.;;;;;;;;;;;;;;;;
Самарская область;;№ 2057 (АЗС-партнер);Самарская обл., г. Кинель, ул. Промышленная 23А;53,225834;50,598575;"Кафетерий
Магазин";Туалет;48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;;;;;;;;;;;;;;;
Самарская область;;№ 2072 (АЗС-партнер);"Самарская область, Волжский район, 29 км автодороги ""Самара-Чимкент"". Вблизи с.Дубовый Умёт";53,011265;50,242199;"Кафетерий
Магазин";"WI-FI
Выпечка
Напитки
Туалет";48.85 руб.;53.45 руб.;60.05 руб.;61.75 руб.;;;;;;;;;;;;;;;
Республика Узбекистан;;№ 2;г. Ташкент, ул. Коратош, 8 А;41,31522;69,234886;"Автомойка
Кафетерий
Магазин";;;;;14500 сум;11500 сум;16000 сум;;;;14000 сум;;6500 сум;;;;;;;
Республика Узбекистан;;№ 3;г. Самарканд, ул. Бедил, 30;39,6682185;66,90598275;"Кафе
Магазин";"WI-FI
Выпечка
Долив жидкости в бачок стеклоомывателя
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Пылесос
Туалет";;;;;11500 сум;16000 сум;;;;14000 сум;;;;;;;;;
Смоленская область;;№ 580;"Смоленская область, Краснинский р-он, 451 км. +330 м М-1 ""Беларусь"" д. Лонница (справа)";54,69091;31,06458;"Кафе
Магазин";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.69 руб.;54.79 руб.;61.09 руб.;62.89 руб.;;;;;;;46.8 руб.;;;;;;;;
Смоленская область;;№ 581;"Смоленская область, Краснинский р-он, 451 км. +170 м  М-1 ""Беларусь"", д. Лонница (слева)";54,68963;31,06774;"Кафетерий
Магазин";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.69 руб.;54.89 руб.;61.09 руб.;62.89 руб.;;;;;;;46.8 руб.;;;;;;;;
Смоленская область;;№ 642;Смоленская обл., Сафоновский район,  с/п Прудковское, д. Пустыня соор. 1, а/м Москва-Минск, 279 км;55,183545;33,512109;"Кафе
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";51.29 руб.;54.89 руб.;61.49 руб.;63.29 руб.;;;;;;;;;;;;;;;
Рязанская область;;№ 538;Рязанская область, Путятинксий районн, вблизи д. Климовка, на 306 км трассы М-5 (слева);54,190839;41,077136;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.99 руб.;53.69 руб.;59.89 руб.;61.69 руб.;;;;;67.99 руб.;;48.5 руб.;;;;;;;;
Рязанская область;;№ 539;Рязанская область, Путятинский район, вблизи д. Климовка, на 306 км трассы М-5 (слева);54,192858;41,073375;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.99 руб.;53.69 руб.;59.89 руб.;61.69 руб.;;;27.69 руб.;;67.99 руб.;;48.5 руб.;;;;;;;;
Рязанская область;;№ 661;Рязанская область, Рыбновское городское поселение, г. Рыбное, ул. имени Н.Р. Колобова, здание 46;54,696107;39,532813;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";49.39 руб.;53.29 руб.;60.39 руб.;62.19 руб.;;;27.69 руб.;;66.59 руб.;;;;;;;;;;
