Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Республика Удмуртия;455 ;№ 654;УР, 36 км а/д Ижевск-Глазов;57,130696;53,161382;Стоянка;"Кофе
Терминал оплаты
Туалет";49.8 руб.;53.9 руб.;61.35 руб.;62.65 руб.;;;;;;;;;;;;;;;
г. Заинск, Заинский район;453 ;№ 2023;Республика Татарстан, г. Заинск, ул. Нариманова, 50;55,2719;52,0071;;;;;;;;;25 руб.;;;;;;;;;;;;
г. Альметьевск, Альметьевский район;453 ;№ 591;Республика Татарстан, г. Альметьевск, ул. Монтажная, 2/9;54,8894607;52,28326993;"Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Азнакаево, Азнакаевский район;454 ;№ 598;Республика Татарстан, г. Азнакаево, а/д Азнакаево-Альметьевск, справа;54,867651;53,04322;"Кафетерий
Магазин";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет";49.5 руб.;53.7 руб.;59.3 руб.;60.95 руб.;;;;;;;;;;;;;;;
г.Бугульма;454 ;№ 693;"Республика Татарстан, Бугульминский район, Татарско-Дымское сельское поселение, трассы М5 ""Урал"", 1240 км слева";54,270712;52,973727;Магазин;;49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;;;;;;;;;;;;
Республика Башкортостан;;№ 450;"Республика Башкортостан, Уфимский район, с. Русский Юрмаш, ул. Промышленная,д.1; трасса М5 ""Урал"", 1483 км, справа.";54,68522;56,197972;"Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Услуга заправщика (в дневное время)";49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;50 руб.;;;;;;;;;;;;;;
Республика Башкортостан;;№ 627;"Республика Башкортостан, Кушнаревский р-н, с. Старокурмашево, автодорога М-7 ""Волга"" Москва-Уфа, 1278 км (слева)";55,089179;55,25563;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет";49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;50 руб.;68.05 руб.;24.5 руб.;;;;;;;;;;;;
Республика Башкортостан;;№ 628;Республика Башкортостан, г. Октябрьский, ул. Северная, д.62;54,493822;53,494551;Магазин;Кофе;49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;;68.05 руб.;;;;;;;;;;;;;
Республика Башкортостан;;№ 631;Республика Башкортостан, Буздякский район, с. Восточное, автодорога М5 «Урал», Москва – Челябинск, 1372 км, слева, АЗС №631;54,649071;54,58047;"Кафетерий
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Услуга заправщика (в дневное время)";49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;50 руб.;68.05 руб.;24 руб.;;;;;;;;;;;;
Республика Башкортостан;;№ 652;Республика Башкортостан, г. Нефтекамск, Берёзовское ш., 9;56,104486;54,233027;;"Кофе
Терминал оплаты";49.4 руб.;53.8 руб.;;61.55 руб.;;;;;;;;;;;;;;;
